All,Year,Sex,Age,Sample,Savg,Lavg,Mavg,Sfa,Lfa,Mfa,Lratio,Sratio,Cayo,TOD
All,2019,M,8,50,138.8857117,389.1641642,299.3304647,0.167861991,0.470357036,0.361780973,1.300115458,0.20172374,DD05566,14:21:00
All,2019,M,9,135,139.15286,314.690389,529.8959961,0.141452992,0.319892076,0.538654932,0.593871989,0.164758587,DD00387,14:24:00
All,2018,F,12,820,33.27225622,105.7180354,105.3614871,0.136165394,0.432646883,0.431187723,1.003384048,0.15762901,DD02586,14:24:00
All,2019,F,5,71,170.868159,648.8695475,482.0659688,0.131254937,0.498438866,0.370306197,1.346018158,0.151085678,DD04464,14:30:00
All,2019,F,-1,24,148.0902812,631.8638102,606.5602214,0.106807611,0.455721087,0.437471302,1.041716532,0.119579625,DD08779,14:31:00
All,2019,M,3,3,238.4147695,604.3477783,824.5929769,0.142989762,0.362458857,0.494551381,0.732904348,0.166847204,DD02200,14:33:00
All,2019,F,-1,91,41.62344996,203.7450562,196.9925079,0.094093848,0.460585471,0.445320681,1.034278198,0.103867103,DD08808,14:34:00
All,2018,M,7,910,58.43525441,227.2435608,235.6811727,0.112082353,0.435866898,0.452050748,0.964199041,0.126230573,DD01514,14:35:00
All,2019,F,3,64,106.0618896,490.4651489,396.4963582,0.10680704,0.49391097,0.39928199,1.236997866,0.119578909,DD01614,14:37:00
All,2018,F,8,675,20.06,50,66.31,0.147099802,0.366649556,0.486250642,0.754034082,0.172470123,DD00915,14:37:00
All,2019,F,3,113,126.6806768,447.446462,497.3233744,0.118232877,0.417608146,0.464158977,0.899709294,0.134086284,DD03358,14:39:00
All,2019,F,5,78,109.5851847,383.3112691,415.6783651,0.120612175,0.421881898,0.457505927,0.922134278,0.137154702,DD05047,14:41:00
All,2018,F,4,710,11.48333333,46.32333333,50.99333333,0.105545343,0.425765931,0.468688725,0.908419401,0.117999657,DD03931,14:42:00
All,2018,M,6,730,39.38027827,118.5334727,163.2158864,0.12263047,0.369114086,0.508255444,0.726237349,0.139770605,DD02117,14:42:00
All,2018,F,4,915,56.38657888,197.1252848,287.6763763,0.104190325,0.364245322,0.531564352,0.685232786,0.116308551,DD02178,14:49:00
All,2018,F,11,765,107.2663116,266.7266032,333.5256042,0.151609193,0.376988865,0.471401942,0.799718522,0.17870207,DD02024,14:50:00
All,2019,M,6,56,115.021342,368.9914754,396.9927673,0.130556882,0.418829894,0.450613225,0.929466494,0.150161499,DD03291,14:51:00
All,2019,F,3,128,135.9749146,673.9771322,575.0580648,0.098176117,0.486622536,0.415201348,1.17201579,0.108863958,DD05118,14:53:00
All,2019,M,6,16,182.1571248,661.2474365,476.8747864,0.137968624,0.500839037,0.361192339,1.386626962,0.160050583,DD00455,14:53:00
All,2018,M,17,810,62.55961482,246.2460683,228.9351654,0.116337851,0.457927027,0.425735121,1.075614871,0.13165422,DD01717,14:53:00
All,2018,M,8,585,51.14171727,128.588501,164.9989751,0.148353311,0.373013088,0.478633601,0.779329089,0.174195841,DD00413,14:55:00
All,2018,F,11,860,36.47938093,161.3265686,133.5993983,0.110074811,0.486795309,0.403129881,1.207539635,0.12368996,DD04343,14:56:00
All,2019,M,6,35,78.7623291,277.3469442,266.8887838,0.126424679,0.445181074,0.428394247,1.039185462,0.144720983,DD03865,14:58:00
All,2019,M,4,72,118.1675847,571.3060913,548.3357951,0.095465084,0.461546066,0.442988851,1.04189093,0.105540518,DD03929,15:04:00
All,2019,F,11,86,105.0804647,435.8221944,437.4253031,0.10740822,0.44547658,0.447115201,0.996335126,0.12033297,DD04350,15:05:00
All,2019,M,4,51,127.8897654,353.3568217,597.8137207,0.118519572,0.327467167,0.554013262,0.591081819,0.134455137,DD01013,15:08:00
